n	name	score	cards	games	flags	short	alt1
1	Bulbasaur	8.9	4	4		A strange seed was planted on its back at birth.	For some time after its birth, it grows by gaining nourishment from the seed on its back.
2	Ivysaur	8.4	3	8		When the bud on its back starts swelling, a sweet aroma wafts to indicate the flower's coming bloom.	Exposure to sunlight adds to its strength. Sunlight also makes the bud on its back grow larger.
3	Venusaur	6.36	2	8		After a rainy day, the flower on its back smells stronger.	By spreading the broad petals of its flower and catching the sun's rays, it fills its body with power.
4	Charmander	11.46	11	3		From the time it is born, a flame burns at the tip of its tail.	The flame on its tail indicates Charmander's life force.
5	Charmeleon	9.36	5	2		If it becomes agitated during battle, it spouts intense flames, incinerating its surroundings.	In the rocky mountains where Charmeleon live, their fiery tails shine at night like stars.
6	Charizard	9.4	7	2		It spits fire that is hot enough to melt boulders.	It is said that Charizard's fire burns hotter if it has experienced harsh battles.
7	Squirtle	11.7	9	8		It shelters itself in its shell, then strikes back with spouts of water at every opportunity.	When it retracts its long neck into its shell, it squirts out water with vigorous force.
8	Wartortle	9.2	4	8		It is said to live 10,000 years. Its furry tail is popular as a symbol of longevity.	It cleverly controls its furry ears and tail to maintain its balance while swimming.
9	Blastoise	8.4	3	7		The jets of water it spouts from the rocket cannons on its shell can punch through thick steel.	It crushes its foe under its heavy body to cause fainting.
10	Caterpie	11.12	6	4		Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.	For protection, it releases a horrible stench from the antennae on its head to drive away enemies.
11	Metapod	8.4	3	8		A steel-hard shell protects its tender body. It quietly endures hardships while awaiting evolution.	Even though it is encased in a sturdy shell, the body inside is tender.
12	Butterfree	8.5	3	3		It collects honey every day. It rubs honey onto the hairs on its legs to carry it back to its nest.	It loves the honey of flowers and can locate flower patches that have even tiny amounts of pollen.
13	Weedle	11.0	7	3		Its poison stinger is very powerful. Its bright-colored body is intended to warn off its enemies.	Often found in forests and grasslands. It has a sharp, toxic barb of around two inches on top of its head.
14	Kakuna	11.32	8	8		While awaiting evolution, it hides from predators under leaves and in nooks of branches.	Almost incapable of moving, this Pokémon can only harden its shell to protect itself when it is in danger.
15	Beedrill	10.4	7	2		May appear in a swarm. Flies at violent speeds, all the while stabbing with the toxic stinger on its rear.	Its best attack involves flying around at high speed, striking with poison needles, then flying off.
16	Pidgey	11.12	6	4		A common sight in forests and woods. It flaps its wings at ground level to kick up blinding sand.	It is docile and prefers to avoid conflict. If disturbed, however, it can ferociously strike back.
17	Pidgeotto	9.9	4	4		Very protective of its sprawling territorial area, this Pokémon will fiercely peck at any intruder.	Very protective of its sprawling territory, this Pokémon will fiercely peck at any intruder.
18	Pidgeot	9.12	6	4	names:Magikarp	When hunting, it skims the surface of water at high speed to pick off unwary prey such as Magikarp.	By flapping its wings with all its might, Pidgeot can make a gust of wind capable of bending tall trees.
19	Rattata	8.5	3	3		Bites anything when it attacks. Small and very quick, it is a common sight in many places.	Cautious in the extreme, its hardy vitality lets it live in any kind of environment.
20	Raticate	6.36	2	6		It whittles its constantly growing fangs by gnawing on hard things.	With its long fangs, this surprisingly violent Pokémon can gnaw away even thick concrete with ease.
21	Spearow	8.06	2	4		Eats bugs in grassy areas. It has to flap its short wings at high speed to stay airborne.	Very protective of its territory, it flaps its short wings busily to dart around at high speed.
22	Fearow	9.1	3	4		With its huge and magnificent wings, it can keep aloft without ever having to land for rest.	It has the stamina to fly all day on its broad wings.
23	Ekans	9.1	3	4		The older it gets, the longer it grows. At night, it wraps its long body around tree branches to rest.	It sneaks through grass without making a sound and strikes unsuspecting prey from behind.
24	Arbok	7.7	4	2		The pattern on its belly appears to be a frightening face.	It is rumored that the ferocious warning markings on its belly differ from area to area.
25	Pikachu	11.32	8	5	override	When several of these Pokémon gather, their electricity can build and cause lightning storms.	Pikachu that can generate powerful electricity have cheek sacs that are extra soft and super stretchy.
26	Raichu	11.7	9	5		Its tail discharges electricity into the ground, protecting it from getting shocked.	Its long tail serves as a ground to protect itself from its own high-voltage power.
27	Sandshrew	6.46	2	3		Disliking water, it lives in deep burrows in arid areas.	To protect itself from attackers, it curls up into a ball.
28	Sandslash	9.1	3	4		Curls up into a spiny ball when threatened. It can roll while curled up to attack or escape.	It curls up, then rolls into foes with its back.
29	Nidoran♀	7.36	2	7		While it does not prefer to fight, even one drop of the poison it secretes from barbs can be fatal.	Although small, its venomous barbs render this Pokémon dangerous.
30	Nidorina	7.9	3	2		The female's horn develops slowly. Prefers physical attacks such as clawing and biting.	When it senses danger, it raises all the barbs on its body.
31	Nidoqueen	9.3	4	3		Its hard scales provide strong protection. It uses its hefty bulk to execute powerful moves.	It uses its scaly, rugged body to seal the entrance of its nest and protect its young from predators.
32	Nidoran♂	8.2	4	8		It scans its surroundings by raising its ears out of the grass.	Stiffens its ears to sense danger. The larger, more powerful of its horns secretes venom.
33	Nidorino	8.9	4	4		An aggressive Pokémon that is quick to attack.	It has a violent disposition and stabs foes with its horn, which oozes poison upon impact.
34	Nidoking	8.4	3	8		One swing of its mighty tail can snap a telephone pole as if it were a matchstick.	Uses its powerful tail in battle to smash, constrict, then break its prey's bones.
35	Clefairy	10.42	6	5		It is said that happiness will come to those who see a gathering of Clefairy dancing under a full moon.	The moonlight that it stores in the wings on its back apparently gives it the ability to float in midair.
36	Clefable	12.02	8	5		A timid Fairy Pokémon that is rarely seen. It will run and hide the moment it senses people.	It has an acute sense of hearing. It can easily hear a pin being dropped nearly 1,100 yards away.
37	Vulpix	11.0	7	3		While young, it has six gorgeous tails. When it grows, several new tails are sprouted.	It controls balls of fire. As it grows, its six tails split from their tips to make more tails.
38	Ninetales	12.02	8	5		Very smart and very vengeful. Grabbing one of its many tails could result in a 1,000-year curse.	Its nine tails are said to be imbued with a mystic power.
39	Jigglypuff	8.4	3	5		When it wavers its big, round eyes, it begins singing a lullaby that makes everyone drowsy.	When its huge eyes waver, it sings a mysteriously soothing melody that lulls its enemies to sleep.
40	Wigglytuff	9.9	4	4		The body is soft and rubbery. When angered, it will suck in air and inflate itself to an enormous size.	It has a very fine fur. Take care not to make it angry, or it may inflate steadily and hit with a Body Slam.
41	Zubat	5.4	1	2		Forms colonies in perpetually dark places. Uses ultrasonic waves to identify and approach targets.	While flying, it constantly emits ultrasonic waves from its mouth to check its surroundings.
42	Golbat	6.86	2	2		Once it bites, it will not stop draining energy from the victim even if it gets too heavy to fly.	It can drink more than 10 ounces of blood at once.
43	Oddish	10.42	8	3		During the day, it stays in the cold underground to avoid the sun.	It often plants its root feet in the ground during the day and sows seeds as it walks about at night.
44	Gloom	9.52	6	3		What appears to be drool is actually sweet honey.	The honey it drools from its mouth smells so atrocious, it can curl noses more than a mile away.
45	Vileplume	10.12	6	5		The larger its petals, the more toxic pollen it contains.	It has the world's largest petals. With every step, the petals shake out heavy clouds of toxic pollen.
46	Paras	7.46	2	3		Burrows to suck tree roots. The mushrooms on its back grow by drawing nutrients from the bug host.	Mushrooms named tochukaso grow on its back. They grow along with the host Paras.
47	Parasect	8.5	3	3		The larger the mushroom on its back grows, the stronger the mushroom spores it scatters.	A host-parasite pair in which the parasite mushroom has taken over the host bug.
48	Venonat	7.4	3	8		Its big eyes are actually clusters of tiny eyes.	Lives in the shadows of tall trees where it eats insects.
49	Venomoth	8.5	3	3		The dust-like scales covering its wings are color coded to indicate the kinds of poison it has.	The scales it scatters will paralyze anyone who touches them, making that person unable to stand.
50	Diglett	8.5	3	3		If a Diglett digs through a field, it leaves the soil perfectly tilled and ideal for planting crops.	Its skin is very thin. If it is exposed to light, its blood heats up, causing it to grow weak.
51	Dugtrio	9.36	5	2		In battle, it digs through the ground and strikes the unsuspecting foe from an unexpected direction.	A team of Diglett triplets. It triggers huge earthquakes by burrowing 60 miles underground.
52	Meowth	10.4	7	2		Adores round objects. It wanders the streets on a nightly basis to look for dropped loose change.	It is nocturnal in nature. If it spots something shiny, its eyes glitter brightly.
53	Persian	9.1	3	4		Although its fur has many admirers, it is tough to raise as a pet because of its fickle meanness.	Its lithe muscles allow it to walk without making a sound.
54	Psyduck	8.7	4	2		It is constantly wracked by a headache. When the headache turns intense, it begins using mysterious powers.	While lulling its enemies with its vacant look, this wily Pokémon will use psychokinetic powers.
55	Golduck	7.9	3	2		When it swims at full speed using its long, webbed limbs, its forehead somehow begins to glow.	It is seen swimming dynamically and elegantly using its well-developed limbs and flippers.
56	Mankey	9.2	4	8		It lives in treetop colonies. If one becomes enraged, the whole colony rampages for no reason.	It lives in groups in the treetops. If it loses sight of its group, it becomes infuriated by its loneliness.
57	Primeape	7.4	4	1		Some researchers theorize that Primeape remains angry even when inside a Poké Ball.	It grows angry if you see its eyes and gets angrier if you run.
58	Growlithe	10.56	5	4		It has a brave and trustworthy nature. It fearlessly stands up to bigger and stronger foes.	A Pokémon with a loyal nature. It will remain motionless until it is given an order by its Trainer.
59	Arcanine	9.2	4	5		Its proud and regal appearance has captured the hearts of people since long ago.	The sight of it running over 6,200 miles in a single day and night has captivated many people.
60	Poliwag	5.4	1	2		Because it is inept at walking on its newly grown legs, it always swims around in water.	Its skin is so thin, its internal organs are visible.
61	Poliwhirl	6.86	2	2		Capable of living in or out of water. When out of water, it sweats to keep its body slimy.	The skin on most of its body is moist. However, the skin on its belly spiral feels smooth.
